"ee.Taxon","Definition.x","Definition.y","N"
"human","temporal lobe epilepsy","limbic system",1
"human","temporal lobe epilepsy","neocortex",1
"human","temporal lobe epilepsy","Ammon's horn",1
"human","temporal lobe epilepsy","limbic lobe",1
"human","temporal lobe epilepsy","lobe of cerebral hemisphere",1
"mouse","hereditary ataxia","pons",1
"mouse","hereditary ataxia","medulla oblongata",1
"mouse","hereditary ataxia","myelencephalon",1
"mouse","neurodegenerative disease","pons",1
"mouse","neurodegenerative disease","medulla oblongata",1
"mouse","neurodegenerative disease","myelencephalon",1
"mouse","autosomal dominant cerebellar ataxia","pons",1
"mouse","autosomal dominant cerebellar ataxia","medulla oblongata",1
"mouse","autosomal dominant cerebellar ataxia","myelencephalon",1
"mouse","central nervous system disease","pons",1
"mouse","central nervous system disease","medulla oblongata",1
"mouse","central nervous system disease","myelencephalon",1
"mouse","nervous system disease","pons",1
"mouse","nervous system disease","medulla oblongata",1
"mouse","nervous system disease","myelencephalon",1
"mouse","multiple sclerosis","neuron associated cell",1
"mouse","multiple sclerosis","glial cell",1
"mouse","multiple sclerosis","macroglial cell",1
"mouse","multiple sclerosis","oligodendrocyte",1
"mouse","multiple sclerosis","glial cell (sensu Vertebrata)",1
"mouse","demyelinating disease","neuron associated cell",1
"mouse","demyelinating disease","glial cell",1
"mouse","demyelinating disease","macroglial cell",1
"mouse","demyelinating disease","oligodendrocyte",1
"mouse","demyelinating disease","glial cell (sensu Vertebrata)",1
"rat","multiple sclerosis","glial cell",1
"rat","multiple sclerosis","macroglial cell",1
"rat","multiple sclerosis","astrocyte",1
"rat","multiple sclerosis","glial cell (sensu Vertebrata)",1
"rat","demyelinating disease","glial cell",1
"rat","demyelinating disease","macroglial cell",1
"rat","demyelinating disease","astrocyte",1
"rat","demyelinating disease","glial cell (sensu Vertebrata)",1
"human","Creutzfeldt-Jakob disease","pallium",1
"human","Creutzfeldt-Jakob disease","brain",1
"human","Creutzfeldt-Jakob disease","cerebral cortex",1
"human","Creutzfeldt-Jakob disease","cerebral hemisphere",1
"human","Creutzfeldt-Jakob disease","frontal cortex",1
"human","Creutzfeldt-Jakob disease","forebrain",1
"human","Creutzfeldt-Jakob disease","telencephalon",1
"human","Creutzfeldt-Jakob disease","neocortex",1
"human","Creutzfeldt-Jakob disease","regional part of brain",1
"human","Creutzfeldt-Jakob disease","brain gray matter",1
"human","Creutzfeldt-Jakob disease","cerebral hemisphere gray matter",1
"human","Creutzfeldt-Jakob disease","gray matter of telencephalon",1
"human","Creutzfeldt-Jakob disease","frontal lobe",1
"human","Creutzfeldt-Jakob disease","lobe of cerebral hemisphere",1
"human","Creutzfeldt-Jakob disease","cortex of cerebral lobe",1
"human","Creutzfeldt-Jakob disease","gray matter of forebrain",1
"human","prion disease","pallium",1
"human","prion disease","cerebral cortex",1
"human","prion disease","frontal cortex",1
"human","prion disease","neocortex",1
"human","prion disease","cerebral hemisphere gray matter",1
"human","prion disease","gray matter of telencephalon",1
"human","prion disease","frontal lobe",1
"human","prion disease","cortex of cerebral lobe",1
"mouse","spinocerebellar ataxia type 1","CNS neuron (sensu Vertebrata)",1
"mouse","spinocerebellar ataxia type 1","Purkinje cell",1
"mouse","spinocerebellar ataxia type 1","efferent neuron",1
"mouse","spinocerebellar ataxia type 1","neuron",1
"mouse","spinocerebellar ataxia type 1","neural cell",1
"mouse","spinocerebellar ataxia type 1","cerebellar neuron",1
"mouse","spinocerebellar ataxia type 1","central nervous system neuron",1
"mouse","spinocerebellar ataxia type 1","cerebellar cortex",1
"mouse","spinocerebellar ataxia type 1","brain gray matter",1
"mouse","spinocerebellar ataxia type 1","gray matter of hindbrain",1
"mouse","autosomal dominant cerebellar ataxia","CNS neuron (sensu Vertebrata)",1
"mouse","autosomal dominant cerebellar ataxia","Purkinje cell",1
"mouse","autosomal dominant cerebellar ataxia","efferent neuron",1
"mouse","autosomal dominant cerebellar ataxia","neuron",1
"mouse","autosomal dominant cerebellar ataxia","neural cell",1
"mouse","autosomal dominant cerebellar ataxia","cerebellar neuron",1
"mouse","autosomal dominant cerebellar ataxia","central nervous system neuron",1
"mouse","autosomal dominant cerebellar ataxia","cerebellar cortex",1
"mouse","autosomal dominant cerebellar ataxia","gray matter of hindbrain",1
"mouse","Charcot-Marie-Tooth disease","motor neuron",1
"mouse","Charcot-Marie-Tooth disease","efferent neuron",1
"mouse","Charcot-Marie-Tooth disease","neuron",1
"mouse","Charcot-Marie-Tooth disease","neural cell",1
"mouse","neuromuscular disease","motor neuron",1
"mouse","neuromuscular disease","efferent neuron",1
"mouse","neuromuscular disease","neuron",1
"mouse","neuromuscular disease","neural cell",1
"mouse","peripheral nervous system disease","motor neuron",1
"mouse","peripheral nervous system disease","efferent neuron",1
"mouse","neuropathy","motor neuron",1
"mouse","neuropathy","efferent neuron",1
"rat","Huntington's disease","ventral part of telencephalon",1
"rat","Huntington's disease","forebrain",1
"rat","Huntington's disease","telencephalon",1
"rat","Huntington's disease","striatum",1
"rat","Huntington's disease","basal forebrain",1
"rat","Huntington's disease","basal nuclear complex",1
"rat","Huntington's disease","gray matter of telencephalon",1
"rat","Huntington's disease","gray matter of forebrain",1
"mouse","movement disease","ventral part of telencephalon",1
"mouse","movement disease","corpus striatum",1
"mouse","movement disease","cerebral subcortex",1
"mouse","movement disease","forebrain",1
"mouse","movement disease","telencephalon",1
"mouse","movement disease","metencephalon",1
"mouse","movement disease","hindbrain",1
"mouse","movement disease","cerebellum",1
"mouse","movement disease","basal ganglion",1
"mouse","movement disease","striatum",1
"mouse","movement disease","regional part of brain",1
"mouse","movement disease","basal forebrain",1
"mouse","movement disease","brain gray matter",1
"mouse","movement disease","segmental subdivision of hindbrain",1
"mouse","movement disease","basal nuclear complex",1
"mouse","movement disease","aggregate regional part of brain",1
"mouse","movement disease","collection of basal ganglia",1
"mouse","movement disease","gray matter of telencephalon",1
"mouse","movement disease","gray matter of forebrain",1
"mouse","dystonia","ventral part of telencephalon",1
"mouse","dystonia","corpus striatum",1
"mouse","dystonia","cerebral subcortex",1
"mouse","dystonia","brain",1
"mouse","dystonia","forebrain",1
"mouse","dystonia","telencephalon",1
"mouse","dystonia","metencephalon",1
"mouse","dystonia","hindbrain",1
"mouse","dystonia","cerebellum",1
"mouse","dystonia","basal ganglion",1
"mouse","dystonia","striatum",1
"mouse","dystonia","regional part of brain",1
"mouse","dystonia","basal forebrain",1
"mouse","dystonia","brain gray matter",1
"mouse","dystonia","segmental subdivision of hindbrain",1
"mouse","dystonia","basal nuclear complex",1
"mouse","dystonia","aggregate regional part of brain",1
"mouse","dystonia","collection of basal ganglia",1
"mouse","dystonia","gray matter of telencephalon",1
"mouse","dystonia","gray matter of forebrain",1
"human","Western equine encephalitis","neuron",1
"human","Western equine encephalitis","neural cell",1
"human","Alzheimer's disease","olfactory bulb",1
"human","neurodegenerative disease","olfactory bulb",1
"human","central nervous system disease","olfactory bulb",1
"human","tauopathy","olfactory bulb",1
"human","nervous system disease","olfactory bulb",1
"human","Alzheimer's disease","fusiform gyrus",1
"human","neurodegenerative disease","fusiform gyrus",1
"human","tauopathy","fusiform gyrus",1
"human","Huntington's disease","prefrontal cortex",1
"human","multiple sclerosis","primary motor cortex",1
"human","demyelinating disease","primary motor cortex",1
"human","intracranial aneurysm","brain",1
"human","intracranial aneurysm","cerebral hemisphere",1
"human","intracranial aneurysm","temporal lobe",1
"human","intracranial aneurysm","forebrain",1
"human","intracranial aneurysm","telencephalon",1
"human","intracranial aneurysm","regional part of brain",1
"human","intracranial aneurysm","lobe of cerebral hemisphere",1
"human","intracranial arterial disease","brain",1
"human","intracranial arterial disease","cerebral hemisphere",1
"human","intracranial arterial disease","temporal lobe",1
"human","intracranial arterial disease","forebrain",1
"human","intracranial arterial disease","telencephalon",1
"human","intracranial arterial disease","regional part of brain",1
"human","intracranial arterial disease","lobe of cerebral hemisphere",1
"human","cerebral arterial disease","brain",1
"human","cerebral arterial disease","cerebral hemisphere",1
"human","cerebral arterial disease","temporal lobe",1
"human","cerebral arterial disease","forebrain",1
"human","cerebral arterial disease","telencephalon",1
"human","cerebral arterial disease","regional part of brain",1
"human","cerebral arterial disease","lobe of cerebral hemisphere",1
"human","cerebrovascular disease","brain",1
"human","cerebrovascular disease","cerebral hemisphere",1
"human","cerebrovascular disease","temporal lobe",1
"human","cerebrovascular disease","forebrain",1
"human","cerebrovascular disease","telencephalon",1
"human","cerebrovascular disease","regional part of brain",1
"human","cerebrovascular disease","lobe of cerebral hemisphere",1
"human","amyotrophic lateral sclerosis-parkinsonism/dementia complex 1","brain",1
"human","amyotrophic lateral sclerosis-parkinsonism/dementia complex 1","cerebral hemisphere",1
"human","amyotrophic lateral sclerosis-parkinsonism/dementia complex 1","temporal lobe",1
"human","amyotrophic lateral sclerosis-parkinsonism/dementia complex 1","forebrain",1
"human","amyotrophic lateral sclerosis-parkinsonism/dementia complex 1","telencephalon",1
"human","amyotrophic lateral sclerosis-parkinsonism/dementia complex 1","regional part of brain",1
"human","amyotrophic lateral sclerosis-parkinsonism/dementia complex 1","frontal lobe",1
"human","amyotrophic lateral sclerosis-parkinsonism/dementia complex 1","lobe of cerebral hemisphere",1
"mouse","hereditary ataxia","pallium",1
"mouse","hereditary ataxia","ventral part of telencephalon",1
"mouse","hereditary ataxia","corpus striatum",1
"mouse","hereditary ataxia","cerebral subcortex",1
"mouse","hereditary ataxia","cerebral cortex",1
"mouse","hereditary ataxia","cerebral hemisphere",1
"mouse","hereditary ataxia","telencephalon",1
"mouse","hereditary ataxia","basal ganglion",1
"mouse","hereditary ataxia","striatum",1
"mouse","hereditary ataxia","basal forebrain",1
"mouse","hereditary ataxia","cerebral hemisphere gray matter",1
"mouse","hereditary ataxia","basal nuclear complex",1
"mouse","hereditary ataxia","aggregate regional part of brain",1
"mouse","hereditary ataxia","collection of basal ganglia",1
"mouse","hereditary ataxia","gray matter of telencephalon",1
"mouse","hereditary ataxia","gray matter of forebrain",1
"mouse","autosomal dominant cerebellar ataxia","pallium",1
"mouse","autosomal dominant cerebellar ataxia","ventral part of telencephalon",1
"mouse","autosomal dominant cerebellar ataxia","corpus striatum",1
"mouse","autosomal dominant cerebellar ataxia","cerebral subcortex",1
"mouse","autosomal dominant cerebellar ataxia","cerebral cortex",1
"mouse","autosomal dominant cerebellar ataxia","cerebral hemisphere",1
"mouse","autosomal dominant cerebellar ataxia","telencephalon",1
"mouse","autosomal dominant cerebellar ataxia","basal ganglion",1
"mouse","autosomal dominant cerebellar ataxia","striatum",1
"mouse","autosomal dominant cerebellar ataxia","basal forebrain",1
"mouse","autosomal dominant cerebellar ataxia","cerebral hemisphere gray matter",1
"mouse","autosomal dominant cerebellar ataxia","basal nuclear complex",1
"mouse","autosomal dominant cerebellar ataxia","aggregate regional part of brain",1
"mouse","autosomal dominant cerebellar ataxia","collection of basal ganglia",1
"mouse","autosomal dominant cerebellar ataxia","gray matter of telencephalon",1
"mouse","autosomal dominant cerebellar ataxia","gray matter of forebrain",1
